
*********<<<<<INIT LOGGER>>>>>*********

2015-11-29 02:15:05.048 [20315 -     0] PROLOG |test_local_pool|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |create_local_pool|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |create_page|
2015-11-29 02:15:05.048 [20315 -     0] EPILOG |create_page|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |create_page|
2015-11-29 02:15:05.048 [20315 -     0] EPILOG |create_page|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |create_page|
2015-11-29 02:15:05.048 [20315 -     0] EPILOG |create_page|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |create_page|
2015-11-29 02:15:05.048 [20315 -     0] EPILOG |create_page|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |create_page|
2015-11-29 02:15:05.048 [20315 -     0] EPILOG |create_page|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |create_page|
2015-11-29 02:15:05.048 [20315 -     0] EPILOG |create_page|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |create_page|
2015-11-29 02:15:05.048 [20315 -     0] EPILOG |create_page|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |create_page|
2015-11-29 02:15:05.048 [20315 -     0] EPILOG |create_page|
2015-11-29 02:15:05.048 [20315 -     0] EPILOG |create_local_pool|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |malloc_block_from_pool|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |malloc_block|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |find_first_empty_block|
2015-11-29 02:15:05.048 [20315 -     0] EPILOG |find_first_empty_block|
2015-11-29 02:15:05.048 [20315 -     0] EPILOG |malloc_block|
2015-11-29 02:15:05.048 [20315 -     0] EPILOG |malloc_block_from_pool|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |malloc_block_from_pool|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |malloc_block|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |find_first_empty_block|
2015-11-29 02:15:05.048 [20315 -     0] EPILOG |find_first_empty_block|
2015-11-29 02:15:05.048 [20315 -     0] EPILOG |malloc_block|
2015-11-29 02:15:05.048 [20315 -     0] EPILOG |malloc_block_from_pool|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |malloc_block_from_pool|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |malloc_block|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |find_first_empty_block|
2015-11-29 02:15:05.048 [20315 -     0] EPILOG |find_first_empty_block|
2015-11-29 02:15:05.048 [20315 -     0] EPILOG |malloc_block|
2015-11-29 02:15:05.048 [20315 -     0] EPILOG |malloc_block_from_pool|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |malloc_block_from_pool|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |malloc_block|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |find_first_empty_block|
2015-11-29 02:15:05.048 [20315 -     0] EPILOG |find_first_empty_block|
2015-11-29 02:15:05.048 [20315 -     0] EPILOG |malloc_block|
2015-11-29 02:15:05.048 [20315 -     0] EPILOG |malloc_block_from_pool|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |malloc_block_from_pool|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |malloc_block|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |find_first_empty_block|
2015-11-29 02:15:05.048 [20315 -     0] EPILOG |find_first_empty_block|
2015-11-29 02:15:05.048 [20315 -     0] EPILOG |malloc_block|
2015-11-29 02:15:05.048 [20315 -     0] EPILOG |malloc_block_from_pool|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |malloc_block_from_pool|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |malloc_block|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |find_first_empty_block|
2015-11-29 02:15:05.048 [20315 -     0] EPILOG |find_first_empty_block|
2015-11-29 02:15:05.048 [20315 -     0] EPILOG |malloc_block|
2015-11-29 02:15:05.048 [20315 -     0] EPILOG |malloc_block_from_pool|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |malloc_block_from_pool|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |malloc_block|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |find_first_empty_block|
2015-11-29 02:15:05.048 [20315 -     0] EPILOG |find_first_empty_block|
2015-11-29 02:15:05.048 [20315 -     0] EPILOG |malloc_block|
2015-11-29 02:15:05.048 [20315 -     0] EPILOG |malloc_block_from_pool|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |malloc_block_from_pool|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |malloc_block|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |find_first_empty_block|
2015-11-29 02:15:05.048 [20315 -     0] EPILOG |find_first_empty_block|
2015-11-29 02:15:05.048 [20315 -     0] EPILOG |malloc_block|
2015-11-29 02:15:05.048 [20315 -     0] EPILOG |malloc_block_from_pool|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |malloc_block_from_pool|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |malloc_block|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |find_first_empty_block|
2015-11-29 02:15:05.048 [20315 -     0] EPILOG |find_first_empty_block|
2015-11-29 02:15:05.048 [20315 -     0] EPILOG |malloc_block|
2015-11-29 02:15:05.048 [20315 -     0] EPILOG |malloc_block_from_pool|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |malloc_block_from_pool|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |malloc_block|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |find_first_empty_block|
2015-11-29 02:15:05.048 [20315 -     0] EPILOG |find_first_empty_block|
2015-11-29 02:15:05.048 [20315 -     0] EPILOG |malloc_block|
2015-11-29 02:15:05.048 [20315 -     0] EPILOG |malloc_block_from_pool|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |malloc_block_from_pool|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |malloc_block|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |find_first_empty_block|
2015-11-29 02:15:05.048 [20315 -     0] EPILOG |find_first_empty_block|
2015-11-29 02:15:05.048 [20315 -     0] EPILOG |malloc_block|
2015-11-29 02:15:05.048 [20315 -     0] EPILOG |malloc_block_from_pool|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |malloc_block_from_pool|
2015-11-29 02:15:05.048 [20315 -     0] PROLOG |malloc_block|
